flarenumber	peaktime	starttime	endtime	energy	peakflux	count	duration	edecay	flag
114	2460997.155	2460997.155	2460997.155	1.073785282e+32	0.0004630491877	0.0004630491877	0.002314788755	0	3
115	2460997.215	2460997.213	2460997.215	6.212464116e+32	0.001420747681	0.0026790053	0.004629588686	0	0
116	2460997.22	2460997.22	2460997.22	1.561286361e+32	0.0006732746231	0.0006732746231	0.002314788755	0	3
117	2460997.643	2460997.643	2460997.643	9.772503089e+31	0.0004214203427	0.0004214203427	0.002314788755	0	3
118	2460997.664	2460997.664	2460997.664	4.551821131e+32	0.00196288505	0.00196288505	0.002314788755	0	1
119	2460997.803	2460997.803	2460997.803	1.185130161e+32	0.0005110645187	0.0005110645187	0.002314788755	0	3
120	2460997.889	2460997.889	2460997.889	9.581294162e+31	0.0004131748266	0.0004131748266	0.002314788755	0	3
121	2460998.326	2460998.326	2460998.329	2.649698901e+32	0.0006310851047	0.001142631533	0.004629585892	0.002314797137	2
122	2460998.354	2460998.354	2460998.354	1.336887651e+32	0.0005765070086	0.0005765070086	0.002314788755	0	3
123	2460998.574	2460998.574	2460998.576	2.425838724e+32	0.0006167506161	0.001046096151	0.004629585426	0.002314796671	2
124	2460998.713	2460998.713	2460998.715	3.314286751e+32	0.0008346852153	0.001429222222	0.004629584961	0.002314796206	2
125	2460998.94	2460998.94	2460998.94	1.036627148e+32	0.000447025459	0.000447025459	0.002314788755	0	3
126	2460999.053	2460999.051	2460999.06	1.251465592e+33	0.001429155936	0.005396703933	0.01157396939	0.004629591014	0
127	2460999.079	2460999.079	2460999.079	9.422292552e+31	0.0004063181889	0.0004063181889	0.002314788755	0	3
128	2460999.324	2460999.324	2460999.324	1.081626966e+32	0.0004664307623	0.0004664307623	0.002314788755	0	3
129	2460999.815	2460999.815	2460999.815	1.016091693e+32	0.0004381699402	0.0004381699402	0.002314788755	0	3
130	2461000.097	2461000.097	2461000.097	9.412826416e+31	0.0004059099801	0.0004059099801	0.002314788755	0	3
131	2461000.354	2461000.352	2461000.354	2.576516307e+32	0.000665347911	0.001111072952	0.004629579838	0	2
132	2461000.648	2461000.648	2461000.65	2.863420936e+32	0.0006767716695	0.001234795038	0.004629578907	0.002314790152	2
133	2461001.055	2461001.055	2461001.055	1.066558568e+32	0.0004599328063	0.0004599328063	0.002314788755	0	3
134	2461001.067	2461001.067	2461001.072	5.920428263e+32	0.0009660522822	0.002553070472	0.006944366265	0.00462957751	2
135	2461001.132	2461001.132	2461001.132	9.741917356e+31	0.000420101392	0.000420101392	0.002314788755	0	3
136	2461001.194	2461001.194	2461001.194	9.426924275e+31	0.000406517923	0.000406517923	0.002314788755	0	3
137	2461001.636	2461001.636	2461001.639	4.548255632e+32	0.00127196953	0.001961347497	0.004629575647	0.002314786892	1
138	2461001.653	2461001.653	2461001.653	1.186240867e+32	0.0005115434893	0.0005115434893	0.002314788755	0	3
139	2461001.799	2461001.796	2461001.805	8.048842528e+32	0.0008691286726	0.003470908063	0.01157393446	0.00694435928	2
140	2461001.886	2461001.886	2461001.889	1.970433436e+32	0.000444894595	0.0008497114059	0.004629575182	0.002314786427	2
141	2461002.28	2461002.28	2461002.292	2.042738638e+33	0.002469999467	0.008808916295	0.01388871763	0.002314785495	0
142	2461002.312	2461002.312	2461002.312	1.044418975e+32	0.000450385534	0.000450385534	0.002314788755	0	3
143	2461002.354	2461002.352	2461002.361	1.521212455e+33	0.001835023188	0.006559935243	0.01157393213	0.006944357418	0
144	2461002.4	2461002.4	2461002.4	1.182845977e+32	0.0005100795082	0.0005100795082	0.002314788755	0	3
145	2461002.433	2461002.433	2461002.435	4.089338483e+32	0.0012532555	0.00176344833	0.004629574716	0.002314785961	1
146	2461002.553	2461002.553	2461002.555	7.180895319e+32	0.002480459482	0.003096622574	0.004629574716	0	1
147	2461002.562	2461002.562	2461002.562	1.504013091e+32	0.0006485766301	0.0006485766301	0.002314788755	0	3
148	2461002.618	2461002.616	2461002.618	2.246481575e+32	0.0005356279002	0.0009687518403	0.004629574716	0	2
149	2461002.639	2461002.639	2461002.639	1.868400577e+32	0.0008057117037	0.0008057117037	0.002314788755	0	3
150	2461002.741	2461002.741	2461002.743	2.042686036e+32	0.0004638005265	0.0008808689456	0.004629575182	0.002314786427	2
151	2461002.748	2461002.748	2461002.748	1.197684227e+32	0.0005164782173	0.0005164782173	0.002314788755	0	3
152	2461002.782	2461002.782	2461002.782	1.734761771e+32	0.0007480825468	0.0007480825468	0.002314788755	0	3
153	2461003.046	2461003.046	2461003.046	9.609772592e+31	0.000414402904	0.000414402904	0.002314788755	0	3
154	2461003.148	2461003.146	2461003.148	2.234015768e+32	0.000533793309	0.0009633762015	0.00462957751	0	2
155	2461003.329	2461003.329	2461003.329	9.894411003e+31	0.0004266773863	0.0004266773863	0.002314788755	0	3
156	2461003.444	2461003.444	2461003.444	1.791949032e+32	0.0007727434501	0.0007727434501	0.002314788755	0	3
157	2461003.516	2461003.514	2461003.518	1.754645634e+33	0.003304154897	0.007566570792	0.006944370456	0.002314790618	0
158	2461003.558	2461003.558	2461003.558	1.167905086e+32	0.0005036365373	0.0005036365373	0.002314788755	0	3
159	2461003.669	2461003.669	2461003.669	1.050042201e+32	0.0004528104417	0.0004528104417	0.002314788755	0	3
160	2461003.685	2461003.685	2461003.685	9.627760507e+31	0.0004151785981	0.0004151785981	0.002314788755	0	3
161	2461003.838	2461003.838	2461003.838	1.019758926e+32	0.0004397513638	0.0004397513638	0.002314788755	0	3
162	2461003.893	2461003.893	2461003.893	1.2950454e+32	0.0005584633448	0.0005584633448	0.002314788755	0	3
163	2461004.007	2461004.007	2461004.007	1.19865364e+32	0.000516896258	0.000516896258	0.002314788755	0	3
164	2461004.055	2461004.055	2461004.062	1.473014417e+33	0.00348789825	0.006352090503	0.009259170853	0.002314793877	0
165	2461004.083	2461004.079	2461004.104	2.044029942e+34	0.01618476607	0.08814484795	0.02777752653	0.01157397171	0
166	2461004.141	2461004.141	2461004.141	1.950349806e+32	0.000841050728	0.000841050728	0.002314788755	0	3
167	2461004.194	2461004.194	2461004.194	1.186068579e+32	0.0005114691932	0.0005114691932	0.002314788755	0	3
168	2461004.211	2461004.208	2461004.217	1.312451241e+33	0.001895758434	0.005659692779	0.01157396846	0.004629590083	0
169	2461004.278	2461004.278	2461004.278	1.444570354e+32	0.0006229430966	0.0006229430966	0.002314788755	0	3
170	2461004.4	2461004.4	2461004.4	1.238409772e+32	0.0005340403231	0.0005340403231	0.002314788755	0	3
171	2461004.437	2461004.437	2461004.437	1.052972483e+32	0.0004540740696	0.0004540740696	0.002314788755	0	3
172	2461004.442	2461004.442	2461004.444	2.814053485e+32	0.0007646685717	0.001213506277	0.004629584961	0.002314796206	2
173	2461004.486	2461004.484	2461004.488	7.296517933e+32	0.001400776781	0.003146482595	0.006944380701	0	0
174	2461004.579	2461004.579	2461004.588	1.080181431e+33	0.001354235883	0.004658074036	0.01157397451	0.009259185754	0
175	2461004.912	2461004.912	2461004.912	1.067064071e+32	0.0004601507947	0.0004601507947	0.002314788755	0	3
176	2461005.021	2461005.021	2461005.021	1.034538309e+32	0.0004461246876	0.0004461246876	0.002314788755	0	3
177	2461005.065	2461005.06	2461005.095	4.625851986e+34	0.04212608341	0.1994809428	0.03703675373	0.006944392808	0
178	2461005.104	2461005.104	2461005.104	2.71505579e+32	0.001170815431	0.001170815431	0.002314788755	0	3
179	2461005.141	2461005.141	2461005.143	2.001370711e+32	0.0004327671798	0.0008630525091	0.004629586358	0.002314797603	2
180	2461005.192	2461005.19	2461005.192	2.653189019e+32	0.000589775908	0.001144136579	0.004629586358	0	2
181	2461005.231	2461005.231	2461005.231	1.896440893e+32	0.0008178035491	0.0008178035491	0.002314788755	0	3
182	2461005.294	2461005.294	2461005.296	2.806682719e+32	0.0007154313353	0.001210327776	0.004629586823	0.002314798068	2
